"Data Table: Acute myocardial infarction, Age-standardized all-cause mortality rate and rate ratio, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Mortality without the condition (per 100,000)","Standard Error of mortality without the condition","Lower 95%_CI of mortality without the condition","Upper 95%_CI of mortality without the condition","Rate CV (%) of mortality without the condition","Counts of mortality without the condition","Population of mortality without the condition","Mortality with the condition (per 100,000)","Standard Error of mortality with the condition","Lower 95%_CI of mortality with the condition","Upper 95%_CI of mortality with the condition","Rate CV (%) of mortality with the condition","Counts of mortality with the condition","Population of mortality with the condition","Rate ratio","Lower 95%_CI of rate ratio","Upper 95%_CI of rate ratio",
"Canada","Both sexes","Total","20+","2000–2001","898","2.12","894","902","0.24","182450","22983495","4520","202.53","4132","5060","4.48","25090","246300","5.04","4.61","5.50",
"Canada","Females","Total","20+","2000–2001","736","2.48","731","741","0.34","90520","11798405","6315","865.20","4734","9028","13.70","11150","83915","8.58","6.56","11.23",
"Canada","Males","Total","20+","2000–2001","1123","3.84","1116","1131","0.34","91935","11185090","4157","167.73","3835","4671","4.03","13935","162385","3.70","3.42","4.01",
"Canada","Both sexes","Total","20+","2001–2002","882","2.07","878","886","0.23","184070","23309220","4422","199.70","4040","4933","4.52","27345","282785","5.01","4.59","5.48",
"Canada","Females","Total","20+","2001–2002","727","2.43","722","732","0.33","91955","11965455","5659","665.13","4431","8025","11.75","11990","96160","7.78","6.18","9.80",
"Canada","Males","Total","20+","2001–2002","1097","3.73","1089","1104","0.34","92115","11343760","4195","199.99","3813","4731","4.77","15355","186630","3.83","3.48","4.20",
"Canada","Both sexes","Total","20+","2002–2003","865","2.02","861","869","0.23","185050","23631130","4078","190.93","3712","4556","4.68","29345","317205","4.71","4.30","5.17",
"Canada","Females","Total","20+","2002–2003","719","2.39","715","724","0.33","93215","12132485","5098","515.95","4138","6860","10.12","12995","107645","7.09","5.81","8.64",
"Canada","Males","Total","20+","2002–2003","1064","3.62","1057","1072","0.34","91830","11498645","3877","201.54","3492","4403","5.20","16345","209555","3.64","3.29","4.03",
"Canada","Both sexes","Total","20+","2003–2004","862","1.99","858","866","0.23","189235","23959830","3897","186.12","3540","4372","4.78","31730","350170","4.52","4.11","4.96",
"Canada","Females","Total","20+","2003–2004","719","2.36","715","724","0.33","95575","12301250","4181","241.10","3722","6386","5.77","14140","118550","5.81","5.19","6.51",
"Canada","Males","Total","20+","2003–2004","1057","3.55","1050","1064","0.34","93665","11658580","3828","205.60","3435","4356","5.37","17585","231620","3.62","3.26","4.02",
"Canada","Both sexes","Total","20+","2004–2005","830","1.93","826","833","0.23","186885","24282945","3653","186.31","3297","4122","5.10","32910","379450","4.40","3.98","4.87",
"Canada","Females","Total","20+","2004–2005","691","2.28","686","695","0.33","94210","12467850","4468","526.63","3495","6352","11.79","14710","127880","6.47","5.13","8.15",
"Canada","Males","Total","20+","2004–2005","1017","3.43","1010","1024","0.34","92675","11815100","3501","196.88","3126","4012","5.62","18200","251570","3.44","3.08","3.84",
"Canada","Both sexes","Total","20+","2005–2006","795","1.86","791","798","0.23","184160","24645550","3344","142.35","3071","3743","4.26","32760","406140","4.21","3.87","4.57",
"Canada","Females","Total","20+","2005–2006","666","2.21","661","670","0.33","93100","12656860","4241","536.18","3256","6267","12.64","14800","136195","6.37","4.97","8.17",
"Canada","Males","Total","20+","2005–2006","968","3.28","961","974","0.34","91060","11988690","3159","136.54","2897","3577","4.32","17955","269945","3.26","3.00","3.55",
"Canada","Both sexes","Total","20+","2006–2007","799","1.83","795","802","0.23","190520","24845715","3112","115.65","2890","3482","3.72","34225","430720","3.90","3.62","4.19",
"Canada","Females","Total","20+","2006–2007","669","2.19","665","674","0.33","96500","12769585","3909","446.59","3083","5571","11.43","15175","143335","5.84","4.67","7.31",
"Canada","Males","Total","20+","2006–2007","972","3.23","966","979","0.33","94020","12076130","2940","87.45","2771","3321","2.97","19045","287385","3.02","2.85","3.21",
"Canada","Both sexes","Total","20+","2007–2008","781","1.79","777","784","0.23","191230","25087250","3168","172.01","2839","3626","5.43","34750","455200","4.06","3.65","4.51",
"Canada","Females","Total","20+","2007–2008","657","2.14","652","661","0.33","97035","12901140","4333","555.97","3312","5943","12.83","15145","150250","6.60","5.13","8.49",
"Canada","Males","Total","20+","2007–2008","944","3.12","938","950","0.33","94195","12186110","2851","129.43","2603","3293","4.54","19600","304950","3.02","2.76","3.30",
"Canada","Both sexes","Total","20+","2008–2009","776","1.75","773","780","0.23","197080","25820880","3169","177.56","2831","3632","5.60","37090","489215","4.08","3.66","4.56",
"Canada","Females","Total","20+","2008–2009","654","2.10","650","658","0.32","100140","13279755","3764","375.33","3064","5128","9.97","16280","160815","5.76","4.73","7.00",
"Canada","Males","Total","20+","2008–2009","938","3.06","932","944","0.33","96945","12541135","3049","202.67","2665","3601","6.65","20805","328390","3.25","2.85","3.70",
"Canada","Both sexes","Total","20+","2009–2010","751","1.70","747","754","0.23","196260","26202925","2949","159.89","2644","3376","5.42","37295","511055","3.93","3.53","4.37",
"Canada","Females","Total","20+","2009–2010","633","2.04","629","637","0.32","99725","13477260","4277","529.42","3303","5800","12.38","16380","166515","6.76","5.30","8.62",
"Canada","Males","Total","20+","2009–2010","904","2.95","899","910","0.33","96535","12725665","2575","115.65","2353","2980","4.49","20910","344530","2.85","2.61","3.11",
"Canada","Both sexes","Total","20+","2010–2011","747","1.67","743","750","0.22","201775","26662775","3126","185.82","2772","3593","5.94","39025","534300","4.19","3.73","4.71",
"Canada","Females","Total","20+","2010–2011","634","2.01","630","638","0.32","103420","13708425","3750","453.38","2915","5155","12.09","17190","172985","5.91","4.67","7.50",
"Canada","Males","Total","20+","2010–2011","891","2.87","885","897","0.32","98360","12954355","2969","199.48","2591","3500","6.72","21830","361305","3.33","2.92","3.80",
"Canada","Both sexes","Total","20+","2011–2012","717","1.61","714","720","0.22","199775","27103930","2582","91.02","2406","2864","3.53","39105","555825","3.60","3.36","3.86",
"Canada","Females","Total","20+","2011–2012","608","1.95","604","612","0.32","101905","13927290","3394","300.49","2831","4385","8.85","17190","178715","5.58","4.69","6.64",
"Canada","Males","Total","20+","2011–2012","856","2.76","851","862","0.32","97875","13176645","2351","63.40","2229","2652","2.70","21915","377105","2.75","2.60","2.90",
"Canada","Both sexes","Total","20+","2012–2013","715","1.59","712","718","0.22","205740","27555140","2988","175.43","2654","3429","5.87","41615","578985","4.18","3.72","4.69",
"Canada","Females","Total","20+","2012–2013","609","1.92","605","613","0.32","105135","14148665","3472","348.17","2823","4634","10.03","18185","185250","5.70","4.68","6.94",
"Canada","Males","Total","20+","2012–2013","850","2.70","845","855","0.32","100610","13406480","2868","204.72","2481","3404","7.14","23430","393740","3.37","2.93","3.88",
"Canada","Both sexes","Total","20+","2013–2014","690","1.54","687","693","0.22","204435","27970385","2553","114.54","2334","2894","4.49","41400","599325","3.70","3.39","4.04",
"Canada","Females","Total","20+","2013–2014","590","1.87","586","593","0.32","104615","14352350","2961","150.38","2673","3913","5.08","18010","190520","5.02","4.55","5.55",
"Canada","Males","Total","20+","2013–2014","815","2.60","810","820","0.32","99820","13618035","2450","144.42","2175","2892","5.90","23390","408810","3.00","2.68","3.37",
"Canada","Both sexes","Total","20+","2014–2015","708","1.54","705","711","0.22","214415","28331640","2948","198.56","2572","3466","6.74","44035","619800","4.16","3.65","4.75",
"Canada","Females","Total","20+","2014–2015","613","1.89","609","616","0.31","111150","14532355","3085","185.13","2733","4100","6.00","18995","195900","5.04","4.48","5.67",
"Canada","Males","Total","20+","2014–2015","829","2.60","824","834","0.31","103265","13799285","2958","266.98","2458","3667","9.03","25035","423895","3.57","2.99","4.26",
"Canada","Both sexes","Total","20+","2015–2016","693","1.51","690","696","0.22","214275","28674605","2770","151.14","2482","3215","5.46","43490","638010","4.00","3.59","4.45",
"Canada","Females","Total","20+","2015–2016","590","1.84","586","593","0.31","108540","14705425","3304","373.94","2612","4738","11.32","18520","200515","5.60","4.49","7.00",
"Canada","Males","Total","20+","2015–2016","823","2.55","818","828","0.31","105735","13969180","2634","159.18","2331","3158","6.04","24975","437500","3.20","2.84","3.60",
"Canada","Both sexes","Total","20+","2016–2017","700","1.49","697","703","0.21","224210","29067445","2810","135.77","2550","3235","4.83","45420","659380","4.01","3.65","4.41",
"Canada","Females","Total","20+","2016–2017","597","1.82","593","601","0.31","113870","14902395","3843","509.17","2910","5710","13.25","19400","206610","6.44","4.96","8.35",
"Canada","Males","Total","20+","2016–2017","830","2.52","825","835","0.30","110345","14165055","2503","100.07","2310","2934","4.00","26020","452765","3.01","2.79","3.26",
"Canada","Both sexes","Total","20+","2017–2018","699","1.47","696","702","0.21","230610","29458225","3205","252.30","2729","3850","7.87","47665","679025","4.58","3.93","5.35",
"Canada","Females","Total","20+","2017–2018","593","1.79","589","596","0.30","116270","15097670","3271","234.56","2828","4702","7.17","20150","211900","5.52","4.79","6.35",
"Canada","Males","Total","20+","2017–2018","831","2.48","826","836","0.30","114345","14360565","3184","318.18","2591","4009","9.99","27510","467120","3.83","3.15","4.66",
"Canada","Both sexes","Total","20+","2018–2019","680","1.43","678","683","0.21","230825","29920420","2856","187.71","2500","3377","6.57","47740","697245","4.20","3.69","4.78",
"Canada","Females","Total","20+","2018–2019","579","1.75","576","583","0.30","116410","15325625","3793","489.12","2896","5284","12.89","19935","217005","6.55","5.08","8.43",
"Canada","Males","Total","20+","2018–2019","804","2.39","799","808","0.30","114415","14594795","2525","165.97","2210","3105","6.57","27805","480240","3.14","2.76","3.57",
"Canada","Both sexes","Total","20+","2019–2020","669","1.40","667","672","0.21","234920","30457500","2607","141.41","2338","3089","5.42","47860","713335","3.90","3.50","4.33",
"Canada","Females","Total","20+","2019–2020","570","1.72","567","573","0.30","118190","15589345","2961","128.21","2715","4305","4.33","20080","221150","5.19","4.77","5.66",
"Canada","Males","Total","20+","2019–2020","791","2.33","786","795","0.30","116725","14868150","2511","186.89","2158","3165","7.44","27780","492180","3.18","2.74","3.67",
"Canada","Both sexes","Total","20+","2020–2021*","723","1.44","720","726","0.20","258780","30617170","3291","306.81","2718","4074","9.32","49765","725910","4.55","3.79","5.47",
"Canada","Females","Total","20+","2020–2021*","605","1.75","602","609","0.29","128260","15671700","3937","708.06","2674","6079","17.98","20215","224075","6.51","4.57","9.26",
"Canada","Males","Total","20+","2020–2021*","864","2.41","859","868","0.28","130515","14945470","3079","325.87","2473","3980","10.58","29550","501830","3.57","2.90","4.39",
"Canada","Both sexes","Total","20+","2021–2022*","716","1.44","713","719","0.20","257465","30538065","3011","203.88","2625","3585","6.77","50035","718175","4.21","3.68","4.80",
"Canada","Females","Total","20+","2021–2022*","596","1.74","593","600","0.29","125990","15616830","2992","158.53","2689","4040","5.30","20295","221235","5.02","4.52","5.57",
"Canada","Males","Total","20+","2021–2022*","859","2.39","854","864","0.28","131475","14921235","3088","297.40","2533","3946","9.63","29740","496940","3.59","2.98","4.34",
"Canada","Both sexes","Total","20+","2022–2023*","713","1.41","710","715","0.20","265885","31311895","2984","153.23","2691","3477","5.13","51365","729090","4.19","3.79","4.63",
"Canada","Females","Total","20+","2022–2023*","605","1.73","601","608","0.29","132505","16005830","3635","378.64","2931","5007","10.42","20850","224390","6.01","4.90","7.37",
"Canada","Males","Total","20+","2022–2023*","840","2.32","836","845","0.28","133380","15306065","2744","127.46","2499","3339","4.65","30515","504705","3.27","2.98","3.58",
"Newfoundland and Labrador","Both sexes","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2000–2001","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2001–2002","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2002–2003","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2003–2004","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2004–2005","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2005–2006","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2006–2007","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2007–2008","","","","","","","","","","","","","","","","","",
"Newfoundland and Labrador","Both sexes","Total","20+","2008–2009","950","15.86","919","982","1.67","3625","414700","","","","","","","","","","",
"Newfoundland and Labrador","Females","Total","20+","2008–2009","794","18.74","757","831","2.36","1810","213670","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2008–2009","1165","28.87","1109","1223","2.48","1815","201025","2482","135.25","2224","34243","5.45","435","6960","2.13","1.90","2.40",
"Newfoundland and Labrador","Both sexes","Total","20+","2009–2010","904","15.30","875","935","1.69","3530","419485","3642","1012.85","1935","35177","27.81","810","11125","4.03","2.33","6.95",
"Newfoundland and Labrador","Females","Total","20+","2009–2010","747","18.05","712","783","2.42","1725","215895","3621","837.22","2171","35322","23.12","360","3740","4.85","3.08","7.65",
"Newfoundland and Labrador","Males","Total","20+","2009–2010","1113","27.60","1059","1169","2.48","1805","203590","3533","1127.61","1680","35144","31.92","450","7390","3.17","1.70","5.95",
"Newfoundland and Labrador","Both sexes","Total","20+","2010–2011","909","15.14","880","939","1.67","3645","423800","2509","125.12","2269","12635","4.99","830","11650","2.76","2.49","3.06",
"Newfoundland and Labrador","Females","Total","20+","2010–2011","746","17.83","711","782","2.39","1775","218015","2680","240.26","2230","34592","8.96","365","3895","3.59","3.00","4.31",
"Newfoundland and Labrador","Males","Total","20+","2010–2011","1129","27.34","1076","1184","2.42","1875","205790","2477","149.09","2193","12613","6.02","470","7755","2.19","1.93","2.49",
"Newfoundland and Labrador","Both sexes","Total","20+","2011–2012","902","14.87","873","931","1.65","3730","427225","2395","125.99","2154","8366","5.26","800","12025","2.66","2.38","2.96",
"Newfoundland and Labrador","Females","Total","20+","2011–2012","767","17.87","733","803","2.33","1875","219835","2716","316.49","2131","17992","11.65","345","3990","3.54","2.80","4.47",
"Newfoundland and Labrador","Males","Total","20+","2011–2012","1078","26.10","1028","1131","2.42","1860","207400","2316","138.66","2052","8301","5.99","455","8040","2.15","1.89","2.44",
"Newfoundland and Labrador","Both sexes","Total","20+","2012–2013","915","14.84","886","945","1.62","3865","429440","2282","103.59","2083","12525","4.54","880","12470","2.49","2.27","2.74",
"Newfoundland and Labrador","Females","Total","20+","2012–2013","768","17.74","734","804","2.31","1910","221095","2329","186.46","1978","17688","8.01","370","4115","3.03","2.57","3.57",
"Newfoundland and Labrador","Males","Total","20+","2012–2013","1119","26.41","1068","1173","2.36","1960","208345","2304","127.84","2061","12546","5.55","505","8355","2.06","1.83","2.32",
"Newfoundland and Labrador","Both sexes","Total","20+","2013–2014","834","14.03","807","862","1.68","3605","430640","2596","255.17","2120","12797","9.83","800","12845","3.11","2.56","3.78",
"Newfoundland and Labrador","Females","Total","20+","2013–2014","708","16.91","675","742","2.39","1780","221660","3197","813.07","1807","13369","25.44","345","4195","4.51","2.74","7.45",
"Newfoundland and Labrador","Males","Total","20+","2013–2014","1003","24.62","955","1053","2.45","1820","208970","2427","250.70","1960","12663","10.33","455","8650","2.42","1.96","2.98",
"Newfoundland and Labrador","Both sexes","Total","20+","2014–2015","911","14.64","883","941","1.61","3960","429620","2613","248.49","2149","10106","9.51","860","13155","2.87","2.37","3.46",
"Newfoundland and Labrador","Females","Total","20+","2014–2015","801","17.86","766","837","2.23","2040","221260","2626","322.65","2032","10055","12.29","350","4215","3.28","2.57","4.19",
"Newfoundland and Labrador","Males","Total","20+","2014–2015","1059","25.39","1009","1110","2.40","1920","208365","2589","288.43","2054","10098","11.14","510","8945","2.45","1.96","3.06",
"Newfoundland and Labrador","Both sexes","Total","20+","2015–2016","913","14.51","885","942","1.59","4060","427915","2859","466.94","2018","13009","16.33","880","13580","3.13","2.27","4.32",
"Newfoundland and Labrador","Females","Total","20+","2015–2016","788","17.68","754","824","2.24","2030","220855","","","","","","","","","","",
"Newfoundland and Labrador","Males","Total","20+","2015–2016","1071","24.90","1022","1121","2.33","2035","207060","2179","147.65","1899","12381","6.78","515","9235","2.04","1.77","2.34",
"Newfoundland and Labrador","Both sexes","Total","20+","2016–2017","900","14.20","872","928","1.58","4125","430110","2317","134.63","2061","12486","5.81","935","14065","2.58","2.29","2.90",
"Newfoundland and Labrador","Females","Total","20+","2016–2017","771","17.22","738","806","2.23","2060","221965","2699","256.73","2220","34025","9.51","390","4495","3.50","2.89","4.24",
"Newfoundland and Labrador","Males","Total","20+","2016–2017","1066","24.54","1019","1116","2.30","2065","208150","2211","159.05","1910","12408","7.19","545","9570","2.07","1.79","2.40",
"Newfoundland and Labrador","Both sexes","Total","20+","2017–2018","898","14.11","871","926","1.57","4175","427715","3674","939.40","2069","13977","25.57","925","14465","4.09","2.48","6.76",
"Newfoundland and Labrador","Females","Total","20+","2017–2018","769","17.16","736","803","2.23","2060","221195","3082","523.47","2142","34310","16.99","360","4610","4.01","2.87","5.61",
"Newfoundland and Labrador","Males","Total","20+","2017–2018","1074","24.52","1027","1124","2.28","2115","206520","3693","1078.87","1891","14115","29.21","565","9850","3.44","1.94","6.10",
"Newfoundland and Labrador","Both sexes","Total","20+","2018–2019","849","13.58","823","876","1.60","4050","427155","2192","121.76","1960","34060","5.56","985","14855","2.58","2.30","2.89",
"Newfoundland and Labrador","Females","Total","20+","2018–2019","741","16.63","709","775","2.25","2050","221025","2332","190.92","1973","34366","8.19","410","4710","3.15","2.67","3.72",
"Newfoundland and Labrador","Males","Total","20+","2018–2019","981","23.01","937","1028","2.34","2005","206140","2124","151.18","1838","34019","7.12","575","10150","2.16","1.87","2.51",
"Newfoundland and Labrador","Both sexes","Total","20+","2019–2020","875","13.55","849","902","1.55","4335","428100","2129","167.53","1814","34023","7.87","930","15110","2.43","2.08","2.85",
"Newfoundland and Labrador","Females","Total","20+","2019–2020","739","16.41","707","772","2.22","2105","221470","3006","691.11","1807","18331","22.99","380","4755","4.07","2.59","6.40",
"Newfoundland and Labrador","Males","Total","20+","2019–2020","1055","23.39","1009","1102","2.22","2230","206625","1854","102.03","1659","33851","5.50","550","10350","1.76","1.56","1.97",
"Newfoundland and Labrador","Both sexes","Total","20+","2020–2021*","872","13.37","846","899","1.53","4440","428055","2374","255.03","1901","5659","10.74","925","15405","2.72","2.20","3.37",
"Newfoundland and Labrador","Females","Total","20+","2020–2021*","746","16.28","714","779","2.18","2195","221490","3327","990.12","1678","35170","29.76","355","4820","4.46","2.49","8.01",
"Newfoundland and Labrador","Males","Total","20+","2020–2021*","1030","22.79","986","1076","2.21","2245","206560","2158","230.32","1731","5867","10.67","565","10580","2.10","1.69","2.59",
"Newfoundland and Labrador","Both sexes","Total","20+","2021–2022*","943","13.70","916","970","1.45","4960","431805","2117","108.60","1909","34012","5.13","1060","15745","2.24","2.02","2.49",
"Newfoundland and Labrador","Females","Total","20+","2021–2022*","825","16.97","792","860","2.06","2480","223065","2195","183.50","1850","34065","8.36","410","4930","2.66","2.25","3.15",
"Newfoundland and Labrador","Males","Total","20+","2021–2022*","1085","22.77","1040","1130","2.10","2480","208740","2099","133.06","1847","5349","6.34","650","10810","1.94","1.70","2.21",
"Newfoundland and Labrador","Both sexes","Total","20+","2022–2023*","960","13.64","934","987","1.42","5210","437125","2305","130.79","2056","17846","5.67","1105","15975","2.40","2.14","2.69",
"Newfoundland and Labrador","Females","Total","20+","2022–2023*","825","16.70","793","859","2.02","2565","225875","2754","316.36","2169","34646","11.49","450","5015","3.34","2.66","4.20",
"Newfoundland and Labrador","Males","Total","20+","2022–2023*","1125","22.84","1081","1171","2.03","2650","211255","2123","141.20","1855","34018","6.65","655","10965","1.89","1.65","2.16",
"Prince Edward Island","Both sexes","Total","20+","2000–2001","1035","32.08","973","1100","3.10","1060","103795","","","","","","","","","","",
"Prince Edward Island","Females","Total","20+","2000–2001","819","37.17","748","897","4.54","515","53535","2801","532.12","1857","10499","19.00","65","465","3.42","2.33","5.01",
"Prince Edward Island","Males","Total","20+","2000–2001","1346","58.67","1234","1467","4.36","540","50255","","","","","","","","","","",
"Prince Edward Island","Both sexes","Total","20+","2001–2002","990","31.09","930","1053","3.14","1030","103990","3463","353.67","2804","10787","10.21","155","1530","3.50","2.84","4.31",
"Prince Edward Island","Females","Total","20+","2001–2002","733","34.23","667","804","4.67","485","53820","3173","563.53","2166","33620","17.76","65","520","4.33","3.02","6.20",
"Prince Edward Island","Males","Total","20+","2001–2002","1339","58.30","1227","1459","4.35","540","50165","3575","430.09","2782","10921","12.03","90","1005","2.67","2.08","3.43",
"Prince Edward Island","Both sexes","Total","20+","2002–2003","992","30.90","932","1054","3.12","1045","104355","2910","290.92","2368","7753","10.00","155","1665","2.93","2.39","3.60",
"Prince Edward Island","Females","Total","20+","2002–2003","855","37.26","783","932","4.36","560","54080","2581","424.45","1817","33968","16.45","70","580","3.02","2.16","4.21",
"Prince Edward Island","Males","Total","20+","2002–2003","1195","54.95","1090","1309","4.60","485","50275","3022","377.15","2328","8897","12.48","80","1085","2.53","1.95","3.28",
"Prince Edward Island","Both sexes","Total","20+","2003–2004","974","30.42","915","1035","3.12","1040","105805","2802","273.80","2291","34459","9.77","150","1825","2.88","2.35","3.52",
"Prince Edward Island","Females","Total","20+","2003–2004","785","35.43","717","858","4.52","520","54880","2121","389.57","1427","33673","18.37","60","610","2.70","1.87","3.92",
"Prince Edward Island","Males","Total","20+","2003–2004","1279","57.00","1170","1397","4.46","520","50930","3078","350.42","2430","34648","11.38","95","1225","2.41","1.89","3.06",
"Prince Edward Island","Both sexes","Total","20+","2004–2005","928","29.57","871","988","3.19","1000","106710","2832","365.74","2161","34488","12.91","155","1965","3.05","2.35","3.96",
"Prince Edward Island","Females","Total","20+","2004–2005","796","35.50","728","869","4.46","535","55400","3623","986.13","1956","18594","27.22","70","650","4.55","2.65","7.82",
"Prince Edward Island","Males","Total","20+","2004–2005","1138","53.92","1035","1250","4.74","460","51300","2705","388.37","1998","34409","14.36","90","1315","2.38","1.77","3.20",
"Prince Edward Island","Both sexes","Total","20+","2005–2006","858","28.29","804","916","3.30","930","107325","2641","350.62","1999","34578","13.27","155","2095","3.08","2.35","4.02",
"Prince Edward Island","Females","Total","20+","2005–2006","716","33.45","652","785","4.67","485","55690","2545","523.77","1624","17549","20.58","65","690","3.56","2.35","5.38",
"Prince Edward Island","Males","Total","20+","2005–2006","1060","51.46","962","1167","4.85","445","51640","2670","401.58","1942","34603","15.04","90","1405","2.52","1.85","3.43",
"Prince Edward Island","Both sexes","Total","20+","2006–2007","888","28.43","833","945","3.20","985","108235","2791","267.01","2292","34665","9.57","185","2200","3.14","2.58","3.83",
"Prince Edward Island","Females","Total","20+","2006–2007","725","33.11","661","793","4.57","510","56140","2650","526.53","1720","18396","19.87","70","730","3.66","2.45","5.45",
"Prince Edward Island","Males","Total","20+","2006–2007","1130","53.04","1029","1240","4.69","475","52095","2914","318.28","2324","34751","10.92","115","1475","2.58","2.04","3.26",
"Prince Edward Island","Both sexes","Total","20+","2007–2008","741","25.67","691","793","3.47","840","109475","2374","258.26","1895","34398","10.88","165","2380","3.21","2.56","4.01",
"Prince Edward Island","Females","Total","20+","2007–2008","613","29.96","555","675","4.89","445","56830","2160","674.07","1048","12210","31.21","50","795","3.53","1.90","6.55",
"Prince Edward Island","Males","Total","20+","2007–2008","903","46.39","814","1000","5.14","395","52640","2692","303.73","2130","34605","11.28","110","1580","2.98","2.34","3.80",
"Prince Edward Island","Both sexes","Total","20+","2008–2009","763","25.76","714","816","3.38","885","111640","2346","647.30","1254","12767","27.59","130","2560","3.07","1.78","5.30",
"Prince Edward Island","Females","Total","20+","2008–2009","629","30.38","571","692","4.83","450","57945","1703","313.93","1144","11692","18.43","60","880","2.71","1.86","3.93",
"Prince Edward Island","Males","Total","20+","2008–2009","955","46.65","866","1052","4.88","435","53695","2562","821.92","1213","13052","32.09","75","1690","2.68","1.42","5.07",
"Prince Edward Island","Both sexes","Total","20+","2009–2010","756","25.42","707","808","3.36","890","113125","2075","222.09","1662","17801","10.70","175","2730","2.74","2.20","3.42",
"Prince Edward Island","Females","Total","20+","2009–2010","614","29.80","557","676","4.85","445","58655","1826","356.41","1196","32725","19.51","75","935","2.97","2.00","4.41",
"Prince Edward Island","Males","Total","20+","2009–2010","949","45.92","861","1045","4.84","445","54465","2189","267.44","1697","17889","12.22","100","1795","2.31","1.78","2.98",
"Prince Edward Island","Both sexes","Total","20+","2010–2011","664","23.53","618","712","3.55","805","114695","2226","252.99","1758","34089","11.37","185","2920","3.35","2.66","4.24",
"Prince Edward Island","Females","Total","20+","2010–2011","564","28.05","510","622","4.98","425","59605","1866","411.65","1148","33519","22.06","65","990","3.31","2.13","5.16",
"Prince Edward Island","Males","Total","20+","2010–2011","799","42.02","719","887","5.26","380","55090","2426","304.70","1865","34220","12.56","115","1930","3.04","2.32","3.96",
"Prince Edward Island","Both sexes","Total","20+","2011–2012","804","25.62","755","856","3.18","1000","116230","1995","195.53","1630","33942","9.80","205","3070","2.48","2.03","3.04",
"Prince Edward Island","Females","Total","20+","2011–2012","662","30.32","604","725","4.58","510","60365","2541","403.10","1813","33179","15.86","95","1040","3.84","2.78","5.30",
"Prince Edward Island","Males","Total","20+","2011–2012","997","45.64","909","1091","4.58","495","55875","1870","231.92","1443","33868","12.40","105","2020","1.88","1.45","2.43",
"Prince Edward Island","Both sexes","Total","20+","2012–2013","790","25.12","742","841","3.18","1010","117680","1663","144.09","1392","33737","8.67","190","3170","2.10","1.76","2.52",
"Prince Edward Island","Females","Total","20+","2012–2013","664","30.02","606","726","4.52","520","61145","1799","288.15","1279","32701","16.02","85","1050","2.71","1.96","3.76",
"Prince Edward Island","Males","Total","20+","2012–2013","965","44.31","881","1057","4.59","485","56530","1621","173.04","1300","33713","10.68","105","2120","1.68","1.34","2.11",
"Prince Edward Island","Both sexes","Total","20+","2013–2014","818","25.26","769","869","3.09","1075","118535","2031","289.64","1503","34187","14.26","220","3255","2.48","1.87","3.30",
"Prince Edward Island","Females","Total","20+","2013–2014","667","29.66","610","728","4.45","540","61485","1841","465.99","1044","33512","25.31","100","1075","2.76","1.67","4.57",
"Prince Edward Island","Males","Total","20+","2013–2014","1022","45.08","936","1115","4.41","530","57045","1971","322.55","1390","34153","16.37","115","2180","1.93","1.38","2.69",
